type;post_title;code;sku;parent;post_content;regular_price;sale_price;weight;length;width;height;images;categories;tags;color_codes;attribute 1 name;attribute 1 value(s);attribute 1 global;attribute 2 name;attribute 2 value(s);attribute 2 global;attribute 3 name;attribute 3 value(s);attribute 3 global;attribute 4 name;attribute 4 value(s);attribute 4 global;attribute 5 name;attribute 5 value(s);attribute 5 global
variable;Prodir DS1TFF Frosted;DS1TFF;prodir-ds1tff-frosted;;Met een slanke houder en fraai gevormde cap, die overloopt in de elegante clip, is het een klassieker in onze reeks designs. ;;;10.4;14.12;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS1TFF-F01.jpg;Schrijfwaren;pennen;F01,F06,F20,F50,F55,F75;Kleuren;Clear frosted,Yellow frosted,Red frosted,Classic Blue frosted,Sky Blue frosted,Anthracite frosted;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.04;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS1TFS Frosted with Satin Metal Nose-Cone;DS1TFS;prodir-ds1tfs-frosted-with-satin-metal-nose-cone;;Met een slanke houder en fraai gevormde cap, die overloopt in de elegante clip, is het een klassieker in onze reeks designs. ;;;10.4;14.12;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS1TFS-F01.jpg;Schrijfwaren;pennen;F01,F06,F20,F50,F55,F75;Kleuren;Clear frosted,Yellow frosted,Red frosted,Classic Blue frosted,Sky Blue frosted,Anthracite frosted;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.04;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS1TMM Matt;DS1TMM;prodir-ds1tmm-matt;;Met een slanke houder en fraai gevormde cap, die overloopt in de elegante clip, is het een klassieker in onze reeks designs. ;;;10.4;14.12;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS1TMM-M02.jpg;Schrijfwaren;pennen;M02, M23, M49, M70, M75;Kleuren;White matt,Fuchsia matt,Forrest matt,Dolphin Grey matt,Black matt;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.04;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS1TMS Matt with Satin Metal Nose-Cone;DS1TMS;prodir-ds1tms-matt-with-satin-metal-nose-cone;;Met een slanke houder en fraai gevormde cap, die overloopt in de elegante clip, is het een klassieker in onze reeks designs. ;;;10.4;14.12;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS1TMS-M02.jpg;Schrijfwaren;pennen;M02, M23, M49, M70, M75;Kleuren;White matt,Fuchsia matt,Forrest matt,Dolphin Grey matt,Black matt;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.04;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS1TPP Polished;DS1TPP;prodir-ds1tpp-polished;;Met een slanke houder en fraai gevormde cap, die overloopt in de elegante clip, is het een klassieker in onze reeks designs. ;;;10.4;14.12;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS1TPP-P02.jpg;Schrijfwaren;pennen;P02, P06, P10, P52, P58, P75;Kleuren;White polished,Yellow polished,Orange polished,Blue polished,Cyan Blue polished,Black polished;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.04;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS1TPC Polished with Chrome Metal Nose-Cone;DS1TPC;prodir-ds1tpc-polished-with-chrome-metal-nose-cone;;Met een slanke houder en fraai gevormde cap, die overloopt in de elegante clip, is het een klassieker in onze reeks designs. ;;;10.4;14.12;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS1TPC-P02.jpg;Schrijfwaren;pennen;P02, P06, P10, P52, P58, P75;Kleuren;White polished,Yellow polished,Orange polished,Blue polished,Cyan Blue polished,Black polished;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.04;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS1TTT Transparent;DS1TTT;prodir-ds1ttt-transparent;;Met een slanke houder en fraai gevormde cap, die overloopt in de elegante clip, is het een klassieker in onze reeks designs. ;;;10.4;14.12;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS1TTT-T01.jpg;Schrijfwaren;pennen;T01, T10, T20, T47, T50, T55;Kleuren;Clear transparant,Orange transparant,Red transparant,Green transparant,Classic Blue transparant,Sky Blue transparant;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.04;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS1TTC Transparent with Chrome Metal Nose-Cone;DS1TTC;prodir-ds1ttc-transparent-with-chrome-metal-nose-cone;;Met een slanke houder en fraai gevormde cap, die overloopt in de elegante clip, is het een klassieker in onze reeks designs. ;;;10.4;14.12;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS1TTC-T01.jpg;Schrijfwaren;pennen;T01, T10, T20, T47, T50, T55;Kleuren;Clear transparant,Orange transparant,Red transparant,Green transparant,Classic Blue transparant,Sky Blue transparant;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.04;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS2PFF Frosted;DS2PFF;prodir-ds2pff-frosted;;De langgerekte drukknop volgt zijn eigen lijn. Zoals altijd bij Prodir zijn de onderdelen ontworpen voor maximale sterkte. Dit zorgt voor een reeks schitterende kleuren en aangename zwaarte in de hand. Extra maatwerk is mogelijk dankzij de gekleurde steek van de dop.;;;11.5;14.88;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS2PFF-F01.jpg;Schrijfwaren;pennen;F01, F20, F50, F76;Kleuren;Clear frosted,Red frosted,Classic Blue frosted,Fume frosted;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.15;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS2PFS Frosted with Satin Metal Nose-Cone;DS2PFS;prodir-ds2pfs-frosted-with-satin-metal-nose-cone;;De langgerekte drukknop volgt zijn eigen lijn. Zoals altijd bij Prodir zijn de onderdelen ontworpen voor maximale sterkte. Dit zorgt voor een reeks schitterende kleuren en aangename zwaarte in de hand. Extra maatwerk is mogelijk dankzij de gekleurde steek van de dop.;;;11.5;14.88;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS2PFS-F01.jpg;Schrijfwaren;pennen;F01, F20, F50, F76;Kleuren;Clear frosted,Red frosted,Classic Blue frosted,Fume frosted;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.15;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS2PMM Matt;DS2PMM;prodir-ds2pmm-matt;;De langgerekte drukknop volgt zijn eigen lijn. Zoals altijd bij Prodir zijn de onderdelen ontworpen voor maximale sterkte. Dit zorgt voor een reeks schitterende kleuren en aangename zwaarte in de hand. Extra maatwerk is mogelijk dankzij de gekleurde steek van de dop.;;;11.5;14.88;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS2PMM-M02.jpg;Schrijfwaren;pennen;M02, M75;Kleuren;White matt,Black matt;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.15;1;Inktkleur;Blauw,Zwart;1
